04.11.2018,UK,"Manchester, Chorlton",3.7,9.7,ponizej oczekiwan,"Koszmar! po miesiecznym oczekiwaniu wielkie rozczarowanie. Fatalna obsluga nie ogarniala wydawania zamowien (idiotyczny system czekania na zamowienie) przez co hapy meal calkowicie ostygl. Wygladal jakby przebieglo po nim stado antylop, stare miesao, stara bulka, gumowaty. Frytki tragiczne - za malo soli, stary tluszcz? stare wymiekle, jeden wielki fail..",3,SW
12.11.2018,UK,"Manchester, Oxfrod Rd",4.4,9.8,prawidlowy,"calkiem przyzwoity poniedzialkowy cheesbu, brak wiekszych zastrzezen",7.5,SW
25.11.2018,UK,"Manchester, Piccadilly Gardens",4,8.7,prawidlowy,"Cheesbu na szybko, niestetety tylko lekko cieply, z mojej winy gdyz zwlekalam ze spozyciem. Za malo ketchupu i musztardy. troche gumowaty, jednym slowem poprawny cheesburger jednak nic specjalnego ",6,SW
25.11.2018,UK,"Manchester, Piccadilly Gardens",4.1,8.7,Normal,It was cold and maybe we took too long to eat it. Apart from the temperature though it was a decent taste with a nice balance of ingredients.  ,,BC
01.12.2018,UK,"Manchester, Oxford Street",3.9,9.6,zadowalajacy,"B smaczny cheesbu! swiezy, cieplutki,  idealna rownowaga miedzy piklami, musztarda i ketchupem. Kazdy cheesbu powinien byc co najmniej taki, ukojenie duszy",7.5,SW
01.12.2018,UK,"Manchester, Oxford Street",4.7,10,Above average,This was a good one! Eaten in the restaurant by a lovely window setting. A nice balance with a good temperature and good texture of bun and burger.  ,7.5,BC
23.12.2018,UK,"Manchester, Oxford Street",3.9,9.5,prawidlowy,Was a little cooler than desired. Too much ketchup but the texture was good and it was well constructed.,6.5,BC
6.1.2019,UK,"Manchester, St. Annes Square",3.7,9.2,Very good,A perfect pick me up. Excellent balance of ingredients and for once a warm burger! An experience made all the more magical by friendly staff gifting us a new baby blue fox angel. ,8,BC
6.1.2019,UK,"Manchester, St. Annes Square",4,9.4,b dobry,"Bardzo smaczny poswiateczny cheesbu, cieply, odpowiednia konsystencja bulki i miesa, wywazone skladniki. ostatni dzien na zdobycie zwierzatek zaowocowal wyjatkowoym cheesbu i dodatkowym liskiem poza dwoma delfinkami. Same pozytywy!",8,SW
30.1.2019,UK,"Manchester, Asda Hulme",4.5,9.3,prawidlowy,b dobry cheesbu! co za zaskoczenie kiedy dostalam arktycznego wilka z kolekcji animal jam ktora juz dawno sie skonczyka!,7,SW
17.06.2019,PL,Warszawa Wilanow,4,10.1,b dobry,"PYSZNY cheesbu! wszystko bylo ideale. idealny kompozycja smakow, do tego przepryszne fryteczki odpowiednio slone, kolaszka odpowiedni poziom gazu",9,SW
21.06.2019,UK,"London, Leicester Sq",4.3,10,zadowalajacy,"ok cheesbu, troche suchy, srednio zadowolajacy.super zabawka krecacy sie jamnik!",6.5,SW
04.07.2019,UK,"Manchester, St. Annes Square",4.3,9.8,dobry,,7,SW
11.08.2019,UK,"Manchester, Oxfrod Rd",3.9,10,zadowalajacy,"niedzielny poimprezowy cheesbu, niestety nie pamietam szczegolow posilku",7,SW
06.09.2019,DE,Koeln,4.2,9.7,prawidlowy,"30-urodzinowy cheesbu, niestety dostarczony z opoznieniem wiec zimny, ciezko obiektywnie ocenic.",6,SW
08.09.2019,DE,"Koeln, Marzellenstraße",,,ponizej oczekiwan,"sredni cheesbu, malo swiezy, stara bulka? nie sprawil satysfakcji",5,SW
24.09.2019,UK,"Manchester, Oxfrod Rd",4.5,9.7,zadowalajacy,Wrzesniowy cheesbu,7.5,SW
30.09.2019,PL,"Warszawa, Złote Tarasy",3.5,9.5,zadowalajacy,"I will write this review in English to celebrate Ben’s new found passion for cheesbus. It was Saturday around 3 PM, McD was PACKED, absolutely full with the average age of 16. I waited around 10-15 mins for my order (cheesbu, medium fries, ice tea, double ketchup). The burger was fine and I had a great experience at McD’s, as it is a place of common peace and happiness. Let’s focus however on the bad things: the bun was “bubbly”, it’s a bun-state where it is getting a little dry, it’s not soft anymore but it turns into a bubbly sponge. It still tastes ok but you can notice that more oxygen would make it dry. The meat was perfect, plenty of cheese BUT (!) there was something wrong with the toppings. The ketchup with the onion was spreaded unevenly, there were dry parts and there was only ONE pickle slice! I AM Shocked! I now notice that it was pretty thin as well!  Thanks to this table I can now confirm that every cheesbu reviewed in Zlote Tarasy was bubbly!",6,AN
4.10.2019,PL,"Warszawa, Świętokrzyska",4.4,9.3,Zadowalajacy,"Cold like Marc’s heart, only one pickle slice. Bubbly bun. Taste veey good. Fantastic fries ",5,AN
15.10.2019,UK,"Manchester, Oxfrod Rd",3.8,9.6,ponizej oczekiwan,"McOctober, cold, squashed burger, bubbly bun, nice fries, accompanied by a starter of the Indian Chicken burger, had higher hopes for this meal, left sligtly dissapointed. ",6,SW
10.11.2019,AT,"Vienna, Airport",4.2,9.4,Zadowalajacy,What a McNovember that was! ,7,SW
15.12.2019,PL,"Warsaw, Galeria Mlociny","3,3","10,4",Poniżej oczekiwań ,"Cold cheesbu, cold fries, cold curly fries. Bubbly bun. What a shame",4,AN
29.12.2019,PL,"Warsaw, Nowy Swiat",,,,Last McDonalds of 2019!,,SW
29.02.2020,UK,"Manchester, Oxfrod Rd",4.2,9.6,,,,SW
23.03.2020,UK,"Manchester, Asda Hulme",3.4,9.4,,,,SW
